pub_id,Year,Title,Source,ISSN,DOI,EID,quartile,escuelas,docentes
2-s2.0-79953738869,2011,Retinal image analysis: Preprocessing and feature extraction,Journal of Physics: Conference Series,17426588,10.1088/1742-6596/274/1/012039,2-s2.0-79953738869,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-79953739933,2011,Optical implementation of multifocal programmable lens with single and multiple axes,Journal of Physics: Conference Series,17426588,10.1088/1742-6596/274/1/012050,2-s2.0-79953739933,SQ,['CIENCIAS BÁSICAS'],['LENNY ALEXANDRA ROMERO PEREZ']
2-s2.0-79953756121,2011,Designing Fresnel microlenses for focusing astigmatic multi-Gaussian beams by using fractional order Fourier transforms,Journal of Physics: Conference Series,17426588,10.1088/1742-6596/274/1/012108,2-s2.0-79953756121,SQ,['CIENCIAS BÁSICAS'],['ALBERTO PATIÑO VANEGAS']
2-s2.0-79961012788,2003,Supervision and optimal control of a class of industrial processes,"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",19460740,10.1109/ETFA.2003.1248693,2-s2.0-79961012788,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JOSE LUIS VILLA RAMIREZ']
2-s2.0-80052802956,2011,No-reference quality metrics for eye fundus imaging,Lecture Notes in Computer Science,03029743,10.1007/978-3-642-23672-3_59,2-s2.0-80052802956,Q2,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-80655146217,2011,Retinal image restoration by means of blind deconvolution,Journal of Biomedical Optics,10833668,10.1117/1.3652709,2-s2.0-80655146217,Q2,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-82955193267,2011,Dimensional Analysis of Aortic Root Geometry During Diastole Using 3D Models Reconstructed from Clinical 64-Slice Computed Tomography Images,Cardiovascular Engineering and Technology,1869408X,10.1007/s13239-011-0052-8,2-s2.0-82955193267,Q3,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['SONIA HELENA CONTRERAS ORTIZ']
2-s2.0-83755224909,2011,"Alternatives for erosion control by using conventional coverage, nonconventional coverage and revegetation; Alternativas para el control de la erosión mediante el uso de co berturas convencionales, no convencionales y revegetalización",Ingenieria e Investigacion,01205609,10.15446/ing.investig.v31n3.26390,2-s2.0-83755224909,Q4,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['CLAUDIA PATRICIA DIAZ MENDOZA']
2-s2.0-84855250532,2012,Dynamic analysis of shear deformable plates using the dual reciprocity method,Engineering Analysis with Boundary Elements,09557997,10.1016/j.enganabound.2011.12.006,2-s2.0-84855250532,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JAIRO FRANCISCO USECHE VIVERO']
2-s2.0-84856759438,2011,Multichannel blind deconvolution in eye fundus imaging,ACM International Conference Proceeding Series,21531633,10.1145/2093698.2093705,2-s2.0-84856759438,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-84859780299,2012,Modeling and numerical solution of coal and natural gas co-combustion in a rotary kiln,Combustion Science and Technology,00102202,10.1080/00102202.2011.615769,2-s2.0-84859780299,Q2,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ARGEMIRO PALENCIA DIAZ']
2-s2.0-84860789485,2012,Environmental assessment of the milk life cycle: The effect of packaging selection and the variability of milk production data,Journal of Environmental Management,03014797,10.1016/j.jenvman.2012.04.019,2-s2.0-84860789485,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JORGELINA CECILIA PASQUALINO']
2-s2.0-84861608853,2012,Harmonic analysis of shear deformable orthotropic cracked plates using the Boundary Element Method,Engineering Analysis with Boundary Elements,09557997,10.1016/j.enganabound.2012.05.002,2-s2.0-84861608853,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JAIRO FRANCISCO USECHE VIVERO']
2-s2.0-84861921843,2012,Image analysis in modern ophthalmology: From acquisition to computer assisted diagnosis and telemedicine,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,10.1117/12.921299,2-s2.0-84861921843,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-84863561756,2012,Extended focal depth imaging using single and double peacock eye phase diffractive elements,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,10.1117/12.923028,2-s2.0-84863561756,SQ,['CIENCIAS BÁSICAS'],['LENNY ALEXANDRA ROMERO PEREZ']
2-s2.0-84863563654,2012,Double peacock eye optical element for extended focal depth imaging with ophthalmic applications,Journal of Biomedical Optics,10833668,10.1117/1.JBO.17.4.046013,2-s2.0-84863563654,Q2,['CIENCIAS BÁSICAS'],['LENNY ALEXANDRA ROMERO PEREZ']
2-s2.0-84863589920,2011,Hexagonal adaptive filtering on compound ultrasound images,Annual International Conference of the IEEE Engineering in Medicine and Biology - Proceedings,05891019; 1557170X,10.1109/IEMBS.2011.6091203,2-s2.0-84863589920,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['SONIA HELENA CONTRERAS ORTIZ']
2-s2.0-84863724273,2012,Ultrasound image enhancement: A review,Biomedical Signal Processing and Control,17468094,10.1016/j.bspc.2012.02.002,2-s2.0-84863724273,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['SONIA HELENA CONTRERAS ORTIZ']
2-s2.0-84864674979,2012,Streamflow prediction based on satellite and in situ measurements for hydro studies in central Chile,International Journal on Hydropower and Dams,13522523,,2-s2.0-84864674979,SQ,['CIENCIAS BÁSICAS'],['LENNY ALEXANDRA ROMERO PEREZ']
2-s2.0-84869031279,2012,Static secure page allocation for light-weight dynamic information flow tracking,,,10.1145/2380403.2380415,2-s2.0-84869031279,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['JUAN CARLOS MARTINEZ SANTOS']
2-s2.0-84869883487,2013,A multi-user remote academic laboratory system,Computers and Education,03601315,10.1016/j.compedu.2012.10.011,2-s2.0-84869883487,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JOSE LUIS VILLA RAMIREZ']
2-s2.0-84872042563,2012,Anisotropy-based robust focus measure for non-mydriatic retinal imaging,Journal of Biomedical Optics,10833668,10.1117/1.JBO.17.7.076021,2-s2.0-84872042563,Q2,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-84872280345,2012,Designing and implementing a malicious 8051 processor,Proceedings - IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems,15505774,10.1109/DFT.2012.6378201,2-s2.0-84872280345,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['JUAN CARLOS MARTINEZ SANTOS']
2-s2.0-84872331347,2012,Using the Berlekamp-Massey algorithm to obtain LFSR characteristic polynomials for TPG,Proceedings - IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems,15505774,10.1109/DFT.2012.6378229,2-s2.0-84872331347,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['OSCAR ACEVEDO PATIÑO']
2-s2.0-84872448884,2012,Towards optimal design of avionics networking infrastructures,AIAA/IEEE Digital Avionics Systems Conference - Proceedings,21557195,10.1109/DASC.2012.6382407,2-s2.0-84872448884,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['OSCAR ACEVEDO PATIÑO']
2-s2.0-84873328358,2013,Environmental assessment of urban water cycle on Mediterranean conditions by LCA approach,Journal of Cleaner Production,09596526,10.1016/j.jclepro.2012.12.033,2-s2.0-84873328358,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JORGELINA CECILIA PASQUALINO']
2-s2.0-84876093463,2013,"Caloramator quimbayensis sp. nov., an anaerobic, moderately thermophilic bacterium isolated from a terrestrial hot spring",International Journal of Systematic and Evolutionary Microbiology,14665026,10.1099/ijs.0.037937-0,2-s2.0-84876093463,Q1,['CIENCIAS BÁSICAS'],['DIANA CAROLINA RUBIANO LABRADOR']
2-s2.0-84879759875,2013,Differential diagnosis of hemorrhagic fevers using ARTMAP and an Artificial Immune System,International Journal of Artificial Intelligence,09740635,,2-s2.0-84879759875,Q4,['CIENCIAS BÁSICAS'],['MOISES RAMON QUINTANA ALVAREZ']
2-s2.0-84882381476,2013,Micro-Architectural support for metadata coherence in multi-core dynamic information flow tracking,ACM International Conference Proceeding Series,21531633,,2-s2.0-84882381476,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['JUAN CARLOS MARTINEZ SANTOS']
2-s2.0-84882410562,2013,Healthcare should be excluded from EU free trade negotiations with United States and India,BMJ,00071447; 09598146; 17561833,10.1136/bmj.f4911,2-s2.0-84882410562,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['RICHARD GERALD RONDON']
2-s2.0-84883857670,2013,Leveraging speculative architectures for runtime program validation,ACM Transactions on Embedded Computing Systems,15399087,10.1145/2512456,2-s2.0-84883857670,Q2,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['JUAN CARLOS MARTINEZ SANTOS']
2-s2.0-84890356498,2014,"Freshwater discharge into the Caribbean Sea from the rivers of Northwestern South America (Colombia): Magnitude, variability and recent changes",Journal of Hydrology,00221694,10.1016/j.jhydrol.2013.11.045,2-s2.0-84890356498,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['MAURO ANTONIO MAZA CHAMORRO']
2-s2.0-84891291217,2013,Blind restoration of retinal images degraded by space-variant blur with adaptive blur estimation,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,10.1117/12.2025134,2-s2.0-84891291217,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-84891327347,2013,Ophthalmic compensation of visual ametropia based on a programmable diffractive lens,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,10.1117/12.2025472,2-s2.0-84891327347,SQ,['CIENCIAS BÁSICAS'],['LENNY ALEXANDRA ROMERO PEREZ']
2-s2.0-84891961447,2013,Academic evaluation protocol for monitoring modalities of use at an Automatic Control Laboratory: Local vs. remote,International Journal of Engineering Education,0949149X,,2-s2.0-84891961447,Q3,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JOSE LUIS VILLA RAMIREZ']
2-s2.0-84892021200,2011,Environmental evaluation: Final disposal alternatives of sludge from municipal wastewater treatment plants,,,,2-s2.0-84892021200,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JORGELINA CECILIA PASQUALINO']
2-s2.0-84892861522,2014,Proteogenomic insights into salt tolerance by a halotolerant alpha-proteobacterium isolated from an Andean saline spring,Journal of Proteomics,18743919,10.1016/j.jprot.2013.05.020,2-s2.0-84892861522,Q2,['CIENCIAS BÁSICAS'],['DIANA CAROLINA RUBIANO LABRADOR']
2-s2.0-84892965338,2013,"Report of Rhizoctonia solani AG-4 HG I on chrysanthemum (White and Yellow Papyrus) and R. solani AG-4 HG III on gypsophila in the São Paulo State, Brazil, and their cross pathogenicity; Relato de Rhizoctonia solani AG-4 HG I em crisântemo (Papiro Branco e Amarelo) e R. solani AG-4 HG III em gipsófila no estado de São Paulo, Brasil, e sua patogenicidade cruzada",Summa Phytopathologica,01005405,10.1590/S0100-54052013000400010,2-s2.0-84892965338,Q4,['CIENCIAS BÁSICAS'],['EDISSON CHAVARRO MESA']
2-s2.0-84893743515,2014,Vibration analysis of shear deformable shallow shells using the Boundary Element Method,Engineering Structures,01410296,10.1016/j.engstruct.2014.01.010,2-s2.0-84893743515,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JAIRO FRANCISCO USECHE VIVERO']
2-s2.0-84896937131,2014,Programmable diffractive lens for ophthalmic application,Optical Engineering,00913286,10.1117/1.OE.53.6.061709,2-s2.0-84896937131,Q3,['CIENCIAS BÁSICAS'],['LENNY ALEXANDRA ROMERO PEREZ']
2-s2.0-84897410882,2013,Monitoring patients in an ambulatory post-surgery state through the Web; Seguimiento de pacientes en estado postoperatorio de cirugías ambulatorias a través de la Web,Salud Uninorte,01205552,,2-s2.0-84897410882,Q4,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['CESAR AUGUSTO VILORIA NUÑEZ']
2-s2.0-84897748145,2014,Restoration of retinal images with space-variant blur,Journal of Biomedical Optics,10833668,10.1117/1.JBO.19.1.016023,2-s2.0-84897748145,Q2,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-84903755254,2014,Neotropical Andes hot springs harbor diverse and distinct planktonic microbial communities,FEMS Microbiology Ecology,01686496,10.1111/1574-6941.12333,2-s2.0-84903755254,Q1,['CIENCIAS BÁSICAS'],['DIANA CAROLINA RUBIANO LABRADOR']
2-s2.0-84906654078,2012,Differential diagnosis of hemorrhagic fevers using ARTMAP,Lecture Notes in Computer Science,03029743,10.1007/978-3-642-34654-5_23,2-s2.0-84906654078,Q2,['CIENCIAS BÁSICAS'],['MOISES RAMON QUINTANA ALVAREZ']
2-s2.0-84907236816,2014,Retinal image analysis oriented to the clinical task,Electronic Letters on Computer Vision and Image Analysis,15775097,10.5565/rev/elcvia.597,2-s2.0-84907236816,Q4,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-84907853691,2014,Beer snobs do exist: Estimation of beer demand by type,Journal of Agricultural and Resource Economics,10685502,,2-s2.0-84907853691,Q2,"['ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD']",['DANIEL TORO GONZALEZ']
2-s2.0-84909646731,2014,Boundary element analysis of shear deformable shallow shells under harmonic excitation,CMES - Computer Modeling in Engineering and Sciences,15261492,,2-s2.0-84909646731,Q2,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JAIRO FRANCISCO USECHE VIVERO']
2-s2.0-84918829257,2014,HATI: Hardware assisted thread isolation for concurrent C/C++ programs,,,10.1109/IPDPSW.2014.45,2-s2.0-84918829257,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['JUAN CARLOS MARTINEZ SANTOS']
2-s2.0-84921636187,2015,Transient dynamic analysis of shear deformable shallow shells using the boundary element method,Engineering Structures,01410296,10.1016/j.engstruct.2015.01.006,2-s2.0-84921636187,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JAIRO FRANCISCO USECHE VIVERO']
2-s2.0-84922977871,2014,Hexagonal filters for ultrasound images,Journal of Electronic Imaging,10179909,10.1117/1.JEI.23.4.043022,2-s2.0-84922977871,Q3,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['SONIA HELENA CONTRERAS ORTIZ']
2-s2.0-84922983845,2015,Programmable diffractive optical elements for extending the depth of focus in ophthalmic optics,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,16057422,10.1117/12.2073866,2-s2.0-84922983845,SQ,['CIENCIAS BÁSICAS'],['LENNY ALEXANDRA ROMERO PEREZ']
